Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
2,2,20210423,,1,Unfurnished,5054786,,Apartment,,Resale,Owner,domcache_srp_54918323
2,2,20210422,,Ground,Unfurnished,7000000,,Apartment,,Resale,Owner,domcache_srp_54918613
2,2,20210622,,3,Unfurnished,4000000,,Apartment,,Resale,Owner,domcache_srp_53852017
3,2,20210728,,1,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_39892243
3,3,20210422,Power Welfare Society,3,Semi-Furnished,12000000,7 Hills,Apartment,,Resale,Owner,domcache_srp_54914619
2,2,20210725,,5,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_56117891
2,2,20210722,Laxmi Infrastructure,1,Unfurnished,5000000,Bandari Blossoms,Apartment,,New Property,Owner,domcache_srp_56065571
3,3,20210624,,1,Unfurnished,12000000,BHEL Metro Enclave,Residential House,,Resale,Owner,domcache_srp_55582607
2,2,20210725,,4,Unfurnished,6500000,,Apartment,,Resale,Owner,domcache_srp_56114113
2,2,20210601,,3,Semi-Furnished,8000000,,Apartment,,New Property,Owner,domcache_srp_52700399
2,2,20210728,,3,Unfurnished,3300000,,Apartment,,Resale,Owner,domcache_srp_56163555
2,2,20210726,,4,Unfurnished,7500000,,Apartment,,Resale,Owner,domcache_srp_56115307
3,3,20210728,,4,Furnished,7000000,,Apartment,,New Property,Owner,domcache_srp_56062825
2,2,20210516,,4,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_52097743
2,2,20210711,Prajay Engineers Syndicate Ltd.,19,Semi-Furnished,7200000,Prajay Megapolis,Apartment,,Resale,Owner,domcache_srp_55503487
2,2,20210516,,4,Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_55119203
2,2,20210807,,5,Semi-Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_54911413
2,2,20210719,,2,Semi-Furnished,6500000,,Apartment,,New Property,Owner,domcache_srp_56011831
2,2,20210725,,5,Unfurnished,5000000,,Apartment,,Resale,Owner,domcache_srp_54452719
2,2,20210728,Trishala Infrastructure Pvt. Ltd.,3,Semi-Furnished,9800000,The Life,Apartment,,Resale,Owner,domcache_srp_56161551
2,2,20210722,,2,Unfurnished,3563850,,Apartment,,Resale,Owner,domcache_srp_56060447
4,4,20210725,,1,Semi-Furnished,12000000,,Residential House,,Resale,Owner,domcache_srp_56115441
2,2,20210804,,1,Unfurnished,8000000,,Residential House,,Resale,Owner,domcache_srp_56163229
3,3,20210817,,2,Unfurnished,4000000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_37720649
3,3,20210515,,1,Unfurnished,6600000,,Apartment,,Resale,Owner,domcache_srp_50216896
2,2,20210725,Lodha Group,16,Semi-Furnished,11502000,Lodha Meridian,Apartment,,Resale,Owner,domcache_srp_56114289
2,2,20210719,,1,Furnished,8500000,,Residential House,,Resale,Owner,domcache_srp_56011153
2,2,20210725,,,Furnished,6500000,,Residential House,,Resale,Owner,domcache_srp_56116035
2,2,20210719,,1,Semi-Furnished,2980000,,Apartment,,Resale,Owner,domcache_srp_56011069
3,3,20210813,,3,Furnished,8600000,Concrete Cornet,Apartment,,Resale,Owner,domcache_srp_56445545
