Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
2,2,20210703,,,Semi-Furnished,8000000,,Residential House,,Resale,Owner,domcache_srp_51378722
3,3,20210725,,,Unfurnished,7800000,,Villa,,Resale,Owner,domcache_srp_50673536
2,2,20210621,,4,Furnished,4830000,,Apartment,,Resale,Owner,domcache_srp_53836241
2,2,20210518,,4,Unfurnished,3500000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_55109731
3,3,20210601,,2,Semi-Furnished,8600000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_31562295
3,3,20210621,,2,Unfurnished,6500000,,Builder Floor Apartment,,New Property,Owner,domcache_srp_44509773
2,2,20210815,,2,Furnished,4900000,,Apartment,,Resale,Owner,domcache_srp_56427579
3,3,20210716,,3,Unfurnished,8130000,,Apartment,,Resale,Owner,domcache_srp_55953693
2,2,20210817,,3,Unfurnished,5500000,,Apartment,,Resale,Owner,domcache_srp_52920419
1,1,20210816,,4,Unfurnished,3500000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_54347573
5,5,20210601,,,Semi-Furnished,13000000,,Villa,,Resale,Owner,domcache_srp_28579173
2,2,20210816,,Lower Basement,Unfurnished,11060000,,Residential House,,New Property,Owner,domcache_srp_54744301
2,2,20210621,,1,Unfurnished,5500000,,Apartment,,Resale,Owner,domcache_srp_50137906
2,2,20210515,,Ground,Unfurnished,4000000,,Apartment,,Resale,Owner,domcache_srp_55112795
3,3,20210725,,8,Semi-Furnished,9000000,,Apartment,,Resale,Owner,domcache_srp_56114683
4,4,20210810,,2,Furnished,14000000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_54799181
2,2,20210601,,2,Unfurnished,5625000,,Apartment,,Resale,Owner,domcache_srp_44690391
2,2,20210515,,5,Furnished,4500000,,Apartment,,Resale,Owner,domcache_srp_49613174
2,2,20210601,,10,Unfurnished,3168000,,Apartment,,Resale,Owner,domcache_srp_53321659
2,2,20210725,,4,Unfurnished,3200000,,Apartment,,Resale,Owner,domcache_srp_56115809
6,5,20210421,,,Unfurnished,13000000,,Residential House,,Resale,Owner,domcache_srp_52731515
2,1,20210810,,,Semi-Furnished,9000000,,Residential House,,Resale,Owner,domcache_srp_49580100
2,2,20210812,,Ground,Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_56426669
2,2,20210812,,2,Unfurnished,5000000,,Apartment,,New Property,Owner,domcache_srp_56427427
2,3,20210719,,,Unfurnished,12000000,,Villa,,Resale,Owner,domcache_srp_46169007
6,1,20210731,,,Unfurnished,10000010,,Residential House,,Resale,Owner,domcache_srp_56217435
2,3,20210814,,2,Semi-Furnished,6941000,,Apartment,,Resale,Owner,domcache_srp_56463583
2,2,20210621,,3,Furnished,4000000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_52719481
4,3,20210815,,2,Unfurnished,9000000,,Residential House,,Resale,Owner,domcache_srp_56475501
3,3,20210619,,,Semi-Furnished,10000000,,Residential House,,Resale,Owner,domcache_srp_49781860
,2,20210516,,,,5880000,,Apartment,,Resale,Owner,domcache_srp_55114911
6,7,20210621,,,Furnished,12200000,,Residential House,,Resale,Owner,domcache_srp_52719223
2,2,20210420,,2,Unfurnished,8500000,,Residential House,,Resale,Owner,domcache_srp_54895075
3,3,20210531,,,Unfurnished,7000000,,Residential House,,Resale,Owner,domcache_srp_29470219
2,2,20210731,,3,Semi-Furnished,5500000,,Apartment,,Resale,Owner,domcache_srp_56159447
