Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
,,,,,,,,,,,,domcache_globalNav
2,2,20210811,ELV Projects Pvt Ltd,,Unfurnished,4927000,ELV Cosmopolis,Apartment,,New Property,Builder,domcache_srp_54364457
2,2,20210817,AR Infra and Developers,,Unfurnished,7988400,AR The Nest,Apartment,,New Property,Builder,domcache_srp_56459889
2,2,20210730,Silversand Infratech Private Limited,,Unfurnished,8625000,Silversand Cyberdyne 2,Apartment,,New Property,Builder,domcache_srp_54835677
2,2,20210723,Urbanrise,,Unfurnished,4085000,Spring Is In The Air,Apartment,,New Property,Builder,domcache_srp_55539835
3,3,20210810,Sri Aditya Homes Pvt. Ltd.,,Unfurnished,13549250,Aditya Athena,Apartment,,New Property,Builder,domcache_srp_50279054
1,2,20210813,Brigade Enterprises Ltd.,,Unfurnished,7836000,Brigade Citadel,Apartment,,New Property,Builder,domcache_srp_56379877
2,2,20210809,SNR Nirman India Pvt. Ltd.,,Unfurnished,7750000,SNR Sri Sri Kala Kuteers Gold,Apartment,,New Property,Builder,domcache_srp_56073027
2,2,20210814,Muppa Projects India Pvt. Ltd.,,Unfurnished,5252000,Muppas Melody,Apartment,,New Property,Builder,domcache_srp_54356527
2,2,20210810,Manbhum Construction Co. Pvt. Ltd.,,Unfurnished,7200000,Manbhum Home Tree,Apartment,,New Property,Builder,domcache_srp_56270317
4,3,20210806,Subhashini Signature Services Pvt. Ltd.,,Unfurnished,9597696,S Cube County,Villa,,New Property,Builder,domcache_srp_56179809
3,3,20210818,Risinia Builders,,Semi-Furnished,7923149,Risinia Skyon,Apartment,,New Property,Builder,domcache_srp_50594082
2,2,20210818,Aspire Spaces Private Limited,,Unfurnished,5927790,AMEYA,Apartment,,New Property,Builder,domcache_srp_56073597
3,3,20210804,Sivaa Shakthi Constructions,2,Unfurnished,9980685,The Lawnz,Apartment,,New Property,Builder,domcache_srp_51518564
2,2,20210724,Anuhar Homes Pvt. Ltd.,,Semi-Furnished,7317516,Rami Reddy Towers,Apartment,,New Property,Builder,domcache_srp_40603507
2,2,20210810,Vasavi Group,,Unfurnished,5751000,Vasavi Metropolis,Apartment,,New Property,Builder,domcache_srp_55279347
3,3,20210728,Ananda Homes,,Semi-Furnished,12636000,The Ozone Heights,Apartment,,New Property,Builder,domcache_srp_56006349
2,2,20210505,Sharvani Ventures and Avenues Private Limited,,Unfurnished,9670000,Sree Hemadurga Paradise,Apartment,,New Property,Builder,domcache_srp_52812287
2,2,20210726,Vertex Homes,,Unfurnished,7323215,Vertex Pristine,Apartment,,New Property,Builder,domcache_srp_48467253
3,3,20210712,Makuta Developers & Infrastructure Pvt. Ltd.,,Unfurnished,12540000,My Space,Apartment,,New Property,Builder,domcache_srp_50507064
2,2,20210802,Aakriti Housing,,Unfurnished,6841009,Aakriti Cyan,Apartment,,New Property,Builder,domcache_srp_56183665
2,2,20210811,Koncept Ambience,,Unfurnished,8696600,Ambience Courtyard,Apartment,,New Property,Builder,domcache_srp_50276474
,,,,,,,,,,,,domcache_constant
,,,,,,,,,,,,domcache_searchpage
2,2,20210701,Fortune Green Homes,,Unfurnished,7160000,Mayura,Apartment,,New Property,Builder,domcache_srp_50347872
3,3,20210817,Saket Group,,Unfurnished,14100000,Saket Bhusatva,Villa,,New Property,Builder,domcache_srp_55147513
2,2,20210816,Reliance Builders,7,Unfurnished,7308000,Reliance Jubilee,Apartment,,New Property,Builder,domcache_srp_56411797
3,3,20210810,Maruthi Rudra Vijetha Projects,,Unfurnished,10022210,Ecopolitan,Apartment,,New Property,Builder,domcache_srp_54298731
2,2,20210803,Bhuva Teza Infra Projects Ltd,2,Semi-Furnished,1890000,Happy Homes II,Apartment,,New Property,Builder,domcache_srp_56057809
3,3,20210621,Sri Gayatri Homes,,Unfurnished,9091000,Gayatri Towers,Apartment,,New Property,Builder,domcache_srp_51854429
3,3,20210811,Greenmark Developers,,Unfurnished,9794000,Mayfair Apartments,Apartment,,New Property,Builder,domcache_srp_41148529
3,3,20210807,Aliens Group,,Unfurnished,10542063,Aliens Space Station,Apartment,,New Property,Builder,domcache_srp_48299515
2,2,20210814,Concrete Infra,1,Unfurnished,6451500,Concrete Avasa,Apartment,,New Property,Builder,domcache_srp_50540784
2,3,20210817,Modi Builders,,Unfurnished,6962500,Sterling Heights,Apartment,,New Property,Builder,domcache_srp_56431393
2,3,20210810,Ramky Estates & Farms Limited,,Unfurnished,8760960,Greenview Apartments,Apartment,,New Property,Builder,domcache_srp_55123143
3,3,20210803,Indis,,Unfurnished,11000000,PBEL City,Apartment,,New Property,Builder,domcache_srp_55037187
3,3,20210812,NJR Constructions Private Limited and Sukhii Group,,Unfurnished,9990000,Sukhii 9,Apartment,,New Property,Builder,domcache_srp_54994869
2,2,20210817,Vasavi Group,,Unfurnished,9500000,Vasavi Sri Nilayam,Apartment,,New Property,Builder,domcache_srp_56431461
3,3,20210818,Cybercity Builders and Developers Pvt. Ltd.,,Unfurnished,10358520,ORIANA,Apartment,,New Property,Builder,domcache_srp_56441029
3,3,20210818,Primark Projects Private Limited,,Unfurnished,7808225,Primarks Destature,Apartment,,New Property,Builder,domcache_srp_52977615
2,2,20210818,GHR Infra,,Unfurnished,3820000,Mystere,Apartment,,New Property,Builder,domcache_srp_56286161
3,3,20210720,BRC Infra Pvt. Ltd.,,Unfurnished,13100000,Sri Hemadurga Sivahills,Apartment,,New Property,Builder,domcache_srp_56001737
3,3,20210727,Dhivya Shakti Group,6,Semi-Furnished,12200000,Dhivya Shree Shakthi,Apartment,,New Property,Builder,domcache_srp_46139579
3,3,20210617,Niharika Projects,,Semi-Furnished,10048500,Niharika Landmark,Apartment,,New Property,Builder,domcache_srp_50229560
3,3,20210803,Orange Realty,13,Unfurnished,11778000,Orange Estella,Apartment,,New Property,Builder,domcache_srp_55526145
2,2,20210806,Concrete Infra,,Unfurnished,7758500,Concrete Vivanta,Apartment,,New Property,Builder,domcache_srp_41473463
2,2,20210816,Sri Himaghna Constructions Pvt Ltd,,Unfurnished,8500000,Diamond Oak,Apartment,,New Property,Builder,domcache_srp_54784179
3,3,20210817,Accurate Developers Pvt. Ltd.,1,Furnished,11440000,Accurate Wind Chimes,Apartment,,New Property,Agent,domcache_srp_52874041
3,3,20210811,ELV Projects Pvt Ltd,,Unfurnished,6423000,ELV Cosmopolis,Apartment,,New Property,Builder,domcache_srp_54364477
2,2,20210803,Maram Infra Projects Pvt. Ltd.,,Unfurnished,4552400,Marams Garlapati Homes,Apartment,,New Property,Builder,domcache_srp_44697845
2,3,20210818,Theme Projects,,Unfurnished,8775000,Fort View,Apartment,,New Property,Builder,domcache_srp_52373877
2,2,20210810,Empire Meadows Pvt. Ltd.,,Unfurnished,6398750,Empire Meadows,Apartment,,New Property,Builder,domcache_srp_28289193
2,3,20210809,Praneeth Group,,Semi-Furnished,7049844,Praneeth Pranav Town Square,Apartment,,New Property,Builder,domcache_srp_50770460
2,2,20210818,,3,Unfurnished,7180000,,Apartment,,New Property,Builder,domcache_srp_56054953
2,2,20210810,Urbanrise,,Unfurnished,6063701,Codename Talk of Hyderabad,Apartment,,New Property,Agent,domcache_srp_56302549
2,2,20210719,,1,Unfurnished,7900000,,Apartment,,New Property,Builder,domcache_srp_56005083
2,2,20210726,,1,Unfurnished,6068700,,Apartment,,New Property,Builder,domcache_srp_55337791
3,3,20210817,,Lower Basement,Semi-Furnished,11270000,,Apartment,,New Property,Agent,domcache_srp_56465621
,,,,,,,,,,,,domcache__agentpromotion_56465621
3,3,20210818,Sahiti Constructions,2,Unfurnished,12579000,Sahiti Karthikeya Panorama,Apartment,,New Property,Agent,domcache_srp_56533107
3,3,20210816,,,Semi-Furnished,9700000,,Villa,,New Property,Agent,domcache_srp_56504493
2,2,20210816,,3,Unfurnished,5280000,,Apartment,,New Property,Agent,domcache_srp_56280263
3,3,20210816,,7,Unfurnished,7675000,,Apartment,,New Property,Agent,domcache_srp_55552705
2,3,20210817,Urbanrise,5,Unfurnished,7034247,Codename Talk of Hyderabad,Apartment,,New Property,Agent,domcache_srp_56038727
2,3,20210816,,4,Unfurnished,8497700,,Apartment,,New Property,Agent,domcache_srp_55418109
2,2,20210816,Gothic Living Spaces,4,Unfurnished,6718325,Gothic Pentagon Clouds,Apartment,,New Property,Agent,domcache_srp_56500627
2,2,20210816,,3,Unfurnished,6750000,,Apartment,,New Property,Agent,domcache_srp_56176353
2,2,20210817,Urbanrise,5,Unfurnished,4405482,Spring Is In The Air,Apartment,,Resale,Agent,domcache_srp_52823645
2,2,20210816,,5,Unfurnished,6700000,,Apartment,,New Property,Agent,domcache_srp_56350427
3,3,20210817,,,Unfurnished,13800000,,Villa,,New Property,Agent,domcache_srp_56513601
3,3,20210816,,2,Unfurnished,9500000,,Apartment,,New Property,Agent,domcache_srp_56394573
2,2,20210817,Vasavi Constructions,,Unfurnished,5224500,Sri Nivasam,Apartment,,New Property,Builder,domcache_srp_56426577
3,3,20210816,,10,Unfurnished,3350000,,Apartment,,New Property,Agent,domcache_srp_54325963
2,2,20210816,,3,Semi-Furnished,5900000,,Apartment,,New Property,Agent,domcache_srp_56390941
2,2,20210817,,3,Semi-Furnished,6130000,,Apartment,,New Property,Agent,domcache_srp_55666791
3,3,20210818,,5,Semi-Furnished,6826500,,Apartment,,New Property,Agent,domcache_srp_55894833
3,3,20210730,Prem Constructions,,Unfurnished,10637500,Gottumukulas Prem Sarovar Emerald,Apartment,,New Property,Builder,domcache_srp_51838977
2,2,20210817,,4,Unfurnished,5125000,,Apartment,,New Property,Agent,domcache_srp_54932489
3,3,20210816,,10,Semi-Furnished,5000000,PJR Enclave,Apartment,,New Property,Agent,domcache_srp_56299159
2,2,20210816,,2,Unfurnished,2908235,,Apartment,,New Property,Agent,domcache_srp_56450361
3,3,20210816,,7,Unfurnished,3960876,,Apartment,,New Property,Agent,domcache_srp_56402773
3,3,20210816,,1,Unfurnished,9900000,,Apartment,,New Property,Agent,domcache_srp_56350619
2,2,20210817,,5,Unfurnished,5685790,,Apartment,,New Property,Agent,domcache_srp_55487343
3,3,20210817,,4,Unfurnished,8100000,,Apartment,,New Property,Agent,domcache_srp_54700289
3,3,20210816,,5,Unfurnished,11823000,,Apartment,,New Property,Agent,domcache_srp_55910463
2,2,20210818,,7,Semi-Furnished,3610710,,Apartment,,New Property,Agent,domcache_srp_56057633
3,2,20210818,,Ground,Unfurnished,6500000,,Residential House,,Resale,Owner,domcache_srp_56431399
2,3,20210818,Sai Neeraj Constructions India Pvt. Ltd,,Unfurnished,7070000,Sai Prakruthi,Apartment,,New Property,Builder,domcache_srp_56287291
2,2,20210730,,4,Unfurnished,3043985,,Apartment,,New Property,Agent,domcache_srp_56199407
2,2,20210816,,4,Unfurnished,4198950,,Apartment,,New Property,Agent,domcache_srp_56298081
3,3,20210817,S.R. Avenues,,Semi-Furnished,12497000,21 Palms,Villa,,New Property,Agent,domcache_srp_54324503
2,2,20210816,BhuvanTeza Infrastructures LLP,2,Unfurnished,3120000,Aura,Apartment,,New Property,Agent,domcache_srp_53957677
2,2,20210817,,5,Unfurnished,3936375,Tulasi Lake Front,Apartment,,New Property,Agent,domcache_srp_54927631
2,2,20210817,,3,Semi-Furnished,3318000,,Apartment,,New Property,Agent,domcache_srp_55937485
3,3,20210816,Urbanrise,Ground,Unfurnished,8406783,Codename Talk of Hyderabad,Apartment,,New Property,Agent,domcache_srp_56123645
2,2,20210816,BhuvanTeza Infrastructures LLP,4,Semi-Furnished,3120000,Aura,Apartment,,Resale,Agent,domcache_srp_55819163
2,2,20210818,,2,Unfurnished,4320000,,Apartment,,New Property,Agent,domcache_srp_56338113
3,3,20210817,Patel Realty,13,Unfurnished,11000000,Smondo,Apartment,,New Property,Agent,domcache_srp_56202763
2,2,20210505,Shree Krishna Homes,,Unfurnished,4598850,Shree Krishna Homes,Apartment,,New Property,Builder,domcache_srp_52036601
2,2,20210816,Urbanrise,,Unfurnished,6640086,Codename Talk of Hyderabad,Apartment,,New Property,Agent,domcache_srp_56024673
2,3,20210818,,3,Unfurnished,11450000,,Apartment,,New Property,Agent,domcache_srp_56277073
