Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
3,2,20210602,,,Unfurnished,6125000,,Residential House,,Resale,Owner,domcache_srp_54987303
2,2,20210602,,1,Semi-Furnished,5200000,,Apartment,,Resale,Owner,domcache_srp_55263843
3,3,20210516,,5,Unfurnished,6400000,,Apartment,,Resale,Owner,domcache_srp_49287835
4,4,20210622,,Ground,Unfurnished,10000000,,Residential House,,New Property,Owner,domcache_srp_39507017
3,3,20210626,,,Unfurnished,8950000,Mantoor Nandan County,Villa,,Resale,Owner,domcache_srp_55266207
2,2,20210517,Sita Shelters Pvt. Ltd.,5,Unfurnished,6500000,Ambience,Apartment,,Resale,Owner,domcache_srp_53740187
2,2,20210620,Lanco Hills Technology Park Pvt. Ltd.,20,Unfurnished,10250000,Lanco Hills,Apartment,,Resale,Owner,domcache_srp_54112773
3,3,20210622,,,Furnished,12000000,,Villa,,Resale,Owner,domcache_srp_53854947
3,2,20210622,,1,Unfurnished,8500000,,Residential House,,Resale,Owner,domcache_srp_53854789
2,2,20210801,,3,Unfurnished,2600000,,Apartment,,Resale,Owner,domcache_srp_55257019
2,2,20210622,Mantri Developers Pvt. Ltd.,24,Furnished,8000000,Mantri Celestia,Apartment,,Resale,Owner,domcache_srp_47578861
2,2,20210622,,3,Furnished,7000000,,Apartment,,Resale,Owner,domcache_srp_50301250
5,4,20210603,,,Unfurnished,13000000,,Villa,,Resale,Owner,domcache_srp_51416512
2,2,20210805,,2,Unfurnished,6500000,,Apartment,,Resale,Owner,domcache_srp_54756809
2,2,20210603,,Ground,Unfurnished,6500000,,Apartment,,Resale,Owner,domcache_srp_48890551
1,1,20210725,Dreams Developers,1,Unfurnished,2000000,Dream Homes Silver,Apartment,,Resale,Owner,domcache_srp_39150025
2,2,20210728,,3,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_54573811
2,2,20210601,,7,Unfurnished,3856000,,Apartment,,Resale,Owner,domcache_srp_55254361
4,6,20210806,,1,Unfurnished,12800000,,Residential House,,Resale,Owner,domcache_srp_33938523
3,2,20210621,,3,Semi-Furnished,4500000,,Apartment,,Resale,Owner,domcache_srp_53839541
2,3,20210812,,3,Semi-Furnished,10900000,,Apartment,,Resale,Owner,domcache_srp_56115713
2,2,20210621,,3,Semi-Furnished,9200000,,Apartment,,Resale,Owner,domcache_srp_52716319
2,2,20210519,,4,Unfurnished,4600000,Sri Krishna Residency Kukatpally,Apartment,,Resale,Owner,domcache_srp_55115075
2,2,20210621,,4,Unfurnished,4620000,,Apartment,,Resale,Owner,domcache_srp_53845801
2,1,20210621,,Ground,Semi-Furnished,8500000,,Residential House,,New Property,Owner,domcache_srp_53846385
2,3,20210723,Prajay Engineers Syndicate Ltd.,4,Semi-Furnished,8079500,Prajay Megapolis,Apartment,,Resale,Owner,domcache_srp_53846825
4,4,20210724,,Ground,Unfurnished,13500000,,Residential House,,Resale,Owner,domcache_srp_56062491
2,2,20210516,,5,Unfurnished,3750000,,Apartment,,Resale,Owner,domcache_srp_45783367
2,2,20210811,,1,Unfurnished,4500000,,Residential House,,Resale,Owner,domcache_srp_56116671
2,2,20210516,,3,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_51033694
3,2,20210621,,1,Furnished,100000,,Apartment,,Resale,Owner,domcache_srp_53844659
3,2,20210515,,1,Unfurnished,9400000,,Residential House,,Resale,Owner,domcache_srp_55111513
5,4,20210516,,1,Semi-Furnished,8000000,,Residential House,,Resale,Owner,domcache_srp_55110869
2,2,20210515,,2,Unfurnished,2400000,,Apartment,,Resale,Owner,domcache_srp_52923807
3,2,20210421,My Home Group,22,Unfurnished,12500000,My Home Avatar,Apartment,,Resale,Owner,domcache_srp_54905243
2,2,20210621,Asrithas Group,4,Unfurnished,3000000,Jewels County,Apartment,,Resale,Owner,domcache_srp_47348349
2,2,20210809,,Ground,Unfurnished,4200000,,Apartment,,Resale,Owner,domcache_srp_55953801
3,3,20210621,,Upper Basement,Semi-Furnished,4723425,,Apartment,,Resale,Owner,domcache_srp_53840369
4,4,20210515,,2,Unfurnished,8700000,,Residential House,,Resale,Owner,domcache_srp_55113957
2,2,20210725,,4,Unfurnished,5800000,,Apartment,,Resale,Owner,domcache_srp_56114963
2,2,20210516,,Ground,Furnished,4200000,,Apartment,,Resale,Owner,domcache_srp_55108427
2,2,20210515,,2,Unfurnished,3000000,,Apartment,,Resale,Owner,domcache_srp_53063747
2,2,20210621,,1,Semi-Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_53829155
6,6,20210421,,Ground,Unfurnished,7800000,,Residential House,,Resale,Owner,domcache_srp_40458679
2,2,20210728,EAPL Group,3,Unfurnished,4200000,Sri Tirumala Harmony,Apartment,,Resale,Owner,domcache_srp_53415741
2,3,20210516,Satya Kalyan Constructions Pvt. Ltd.,1,Semi-Furnished,5200000,Satya Kalyan Mahi OM Complex,Builder Floor Apartment,,Resale,Owner,domcache_srp_53184819
2,2,20210619,,1,Unfurnished,3800000,,Apartment,,Resale,Owner,domcache_srp_41747289
3,3,20210531,,Ground,Semi-Furnished,6700000,,Residential House,,Resale,Owner,domcache_srp_50270576
2,2,20210513,,2,Unfurnished,8400000,,Apartment,,Resale,Owner,domcache_srp_55094165
2,2,20210531,,1,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_55250073
2,2,20210620,Prajay Engineers Syndicate Ltd.,4,Furnished,4600000,Prajay Gulmohar,Apartment,,Resale,Owner,domcache_srp_53828101
2,2,20210531,,4,Unfurnished,3850000,,Apartment,,Resale,Owner,domcache_srp_55250353
2,2,20210629,,5,Unfurnished,6500000,,Apartment,,Resale,Owner,domcache_srp_55574151
2,2,20210722,,2,Semi-Furnished,3400000,,Apartment,,Resale,Owner,domcache_srp_54454883
1,2,20210421,,1,Unfurnished,5500000,,Residential House,,Resale,Owner,domcache_srp_50987008
3,3,20210601,,7,Unfurnished,12000000,,Apartment,,Resale,Owner,domcache_srp_45678675
3,3,20210621,,1,Furnished,9000000,,Residential House,,Resale,Owner,domcache_srp_50209554
3,3,20210808,NS Group,3,Semi-Furnished,11000005,NS Mountain View,Apartment,,Resale,Owner,domcache_srp_55245599
1,2,20210620,Prajay Engineers Syndicate Ltd.,1,Unfurnished,1800000,Prajay Water Front,Apartment,,Resale,Owner,domcache_srp_53820903
2,2,20210601,,,Unfurnished,3800000,,Residential House,,Resale,Owner,domcache_srp_53438189
2,2,20210601,,2,Unfurnished,5500000,Jubilee Residency,Apartment,,Resale,Owner,domcache_srp_54125847
2,2,20210601,,1,Unfurnished,4800000,,Residential House,,Resale,Owner,domcache_srp_50579758
2,3,20210609,,1,Unfurnished,5500000,Asbestos Hills Colony,Residential House,,Resale,Owner,domcache_srp_52905691
3,3,20210601,,2,Semi-Furnished,8500000,Ayyappa Society,Apartment,,Resale,Owner,domcache_srp_51093520
2,3,20210621,,1,Unfurnished,9600000,,Residential House,,Resale,Owner,domcache_srp_53016431
3,3,20210728,,Ground,Unfurnished,10500000,,Residential House,,New Property,Owner,domcache_srp_46081467
2,2,20210514,,4,Semi-Furnished,1500000,,Apartment,,Resale,Owner,domcache_srp_44049269
2,2,20210723,,5,Furnished,3670000,Rank One Tower,Apartment,,Resale,Owner,domcache_srp_56056549
2,2,20210514,,2,Unfurnished,1500000,,Apartment,,Resale,Owner,domcache_srp_55098905
3,3,20210601,,1,Unfurnished,7000000,,Apartment,,New Property,Owner,domcache_srp_52104735
2,2,20210601,Panchajanya Constructions Pvt. Ltd.,4,Unfurnished,5900000,Janapriya Nile Valley,Apartment,,Resale,Owner,domcache_srp_54584411
3,4,20210601,,,Semi-Furnished,14900000,,Villa,,Resale,Owner,domcache_srp_55253473
2,2,20210620,,,Semi-Furnished,12000000,,Residential House,,Resale,Owner,domcache_srp_52703075
2,2,20210531,Godavari Group,4,Semi-Furnished,4500000,Godavari Apartments,Apartment,,New Property,Owner,domcache_srp_53133693
2,2,20210603,,3,Unfurnished,2500000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_55249681
1,1,20210726,,Ground,Unfurnished,4800000,,Residential House,,Resale,Owner,domcache_srp_56006699
1,1,20210608,,Ground,Unfurnished,2500000,,Residential House,,Resale,Owner,domcache_srp_53614263
2,2,20210426,,Ground,Semi-Furnished,5800000,,Residential House,,Resale,Owner,domcache_srp_52799095
2,2,20210525,PRAJAPATI CONSTRUCTIONS Ltd.,4,Semi-Furnished,6500000,Prajapati Elite,Apartment,,Resale,Owner,domcache_srp_53638953
2,2,20210723,Amigo Group,6,Unfurnished,7963400,United Avenues,Apartment,,Resale,Owner,domcache_srp_56078649
2,2,20210726,,Ground,Semi-Furnished,7500000,,Residential House,,Resale,Owner,domcache_srp_42557459
