Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
3,3,20210614,,4,Semi-Furnished,7260000,,Apartment,,Resale,Owner,domcache_srp_52226447
2,2,20210614,,4,Furnished,3500000,,Apartment,,Resale,Owner,domcache_srp_54575127
1,1,20210614,,4,Unfurnished,2000000,,Apartment,,Resale,Owner,domcache_srp_54602913
2,2,20210718,,2,Semi-Furnished,5200000,,Apartment,,Resale,Owner,domcache_srp_55986059
4,4,20210630,,1,Semi-Furnished,11000000,,Residential House,,New Property,Owner,domcache_srp_50308430
3,3,20210630,,1,Semi-Furnished,10000000,,Residential House,,Resale,Owner,domcache_srp_50872072
1,2,20210617,,1,Semi-Furnished,900000,,Residential House,,Resale,Owner,domcache_srp_55422359
3,3,20210715,,2,Semi-Furnished,7200000,Puran Shanthi Sheela Homes,Apartment,,Resale,Owner,domcache_srp_55934277
2,2,20210630,,Ground,Semi-Furnished,6200000,,Residential House,,Resale,Owner,domcache_srp_54016615
3,3,20210630,,5,Semi-Furnished,5000000,,Apartment,,Resale,Owner,domcache_srp_54010609
4,4,20210630,,,Semi-Furnished,9800000,,Residential House,,Resale,Owner,domcache_srp_54015225
2,2,20210630,,4,Unfurnished,3200000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_54015395
2,2,20210630,,,Semi-Furnished,4300000,,Residential House,,Resale,Owner,domcache_srp_54015417
3,3,20210614,,Ground,Unfurnished,4000000,,Residential House,,Resale,Owner,domcache_srp_55427545
1,2,20210614,,2,Furnished,2500000,,Apartment,,Resale,Owner,domcache_srp_55427987
2,2,20210706,,8,Semi-Furnished,3500000,,Apartment,,Resale,Owner,domcache_srp_54176957
2,2,20210630,,Upper Basement,Unfurnished,3000000,,Apartment,,Resale,Owner,domcache_srp_52869697
2,3,20210708,,Ground,Semi-Furnished,12000000,,Residential House,,Resale,Owner,domcache_srp_55811641
6,6,20210701,,,Semi-Furnished,9500000,,Residential House,,Resale,Owner,domcache_srp_54031109
2,2,20210701,,,Unfurnished,14000000,,Residential House,,Resale,Owner,domcache_srp_54031355
2,2,20210715,,1,Furnished,6500000,,Apartment,,Resale,Owner,domcache_srp_54413001
1,1,20210615,,2,Semi-Furnished,1750000,,Apartment,,Resale,Owner,domcache_srp_55438067
3,3,20210501,,5,Semi-Furnished,6200000,,Apartment,,Resale,Owner,domcache_srp_53246637
2,2,20210701,,2,Unfurnished,7700000,,Residential House,,Resale,Owner,domcache_srp_52874347
2,2,20210501,,,Unfurnished,5000000,,Residential House,,Resale,Owner,domcache_srp_55003003
2,2,20210501,,,Furnished,5800000,,Residential House,,Resale,Owner,domcache_srp_55003413
2,2,20210701,,2,Unfurnished,7200000,,Apartment,,Resale,Owner,domcache_srp_54020193
2,2,20210615,,Ground,Semi-Furnished,5600000,,Residential House,,Resale,Owner,domcache_srp_55431611
2,2,20210701,,4,Unfurnished,3200000,,Apartment,,Resale,Owner,domcache_srp_54020651
2,2,20210701,,1,Furnished,3200000,,Apartment,,Resale,Owner,domcache_srp_54020929
2,2,20210615,,1,Unfurnished,4000000,Vaishnavi Classic Towers,Apartment,,Resale,Owner,domcache_srp_55029349
2,2,20210715,,1,Semi-Furnished,4200000,,Apartment,,Resale,Owner,domcache_srp_55937555
2,3,20210615,,,Unfurnished,8000000,,Residential House,,Resale,Owner,domcache_srp_53755377
2,2,20210615,,5,Semi-Furnished,3000000,,Penthouse,,Resale,Owner,domcache_srp_51945589
2,2,20210701,,2,Unfurnished,3300000,,Apartment,,Resale,Owner,domcache_srp_52872321
2,1,20210701,,1,Unfurnished,4320000,,Apartment,,Resale,Owner,domcache_srp_54021527
2,4,20210622,,Ground,Unfurnished,3000000,,Residential House,,Resale,Owner,domcache_srp_55538851
2,3,20210614,,,Unfurnished,3400000,,Residential House,,Resale,Owner,domcache_srp_53718885
3,3,20210615,,Ground,Semi-Furnished,9000000,,Residential House,,Resale,Owner,domcache_srp_55417527
3,3,20210718,,4,Semi-Furnished,12500000,,Apartment,,Resale,Owner,domcache_srp_54398401
2,2,20210614,,Ground,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_52399023
2,2,20210630,,4,Semi-Furnished,3800000,,Apartment,,Resale,Owner,domcache_srp_53998017
2,2,20210724,,1,Unfurnished,10000000,,Residential House,,Resale,Owner,domcache_srp_56102571
4,4,20210702,,1,Semi-Furnished,9000000,,Apartment,,Resale,Owner,domcache_srp_52886757
2,2,20210502,,1,Unfurnished,4000000,,Residential House,,Resale,Owner,domcache_srp_49896762
2,3,20210616,,Ground,Semi-Furnished,2500000,,Residential House,,Resale,Owner,domcache_srp_38926631
3,3,20210702,,5,Unfurnished,5700000,DLF Gardencity,Residential House,,Resale,Owner,domcache_srp_54043683
2,2,20210502,,,Semi-Furnished,7500000,,Residential House,,Resale,Owner,domcache_srp_55005611
6,6,20210502,,,,9500000,,Residential House,,Resale,Owner,domcache_srp_52906615
